path,label
../data/processed\scissors\processed_Z6CURxA1iRNhTzO9.png,2
../data/processed\scissors\processed_MfDDFjVkEdWKPi2X.png,2
../data/processed\rock\processed_BOswKcczxw8dC4kY.png,0
../data/processed\paper\processed_RmTijOM3U31zKnrY.png,1
../data/processed\paper\processed_2F8Ng7620ANA7tEK.png,1
../data/processed\scissors\processed_o3cajP31029qBUIX.png,2
../data/processed\scissors\processed_UO03gubyPNMaJ8pj.png,2
../data/processed\paper\processed_KOlOsNsrUdQonYpp.png,1
../data/processed\rock\processed_gjdBDXv7avQwgTr3.png,0
../data/processed\rock\processed_XQVw2vKQl0dywWDc.png,0
../data/processed\scissors\processed_Y2lr5d6VnNfievnA.png,2
../data/processed\rock\processed_H5UvLsMVpHQH2q0i.png,0
../data/processed\paper\processed_AfvIbTwxuG0q7Ij1.png,1
../data/processed\paper\processed_SboHPaPEPBqkkTUX.png,1
../data/processed\rock\processed_aEjSJwrTtf651GLm.png,0
../data/processed\scissors\processed_IdrewaHdlHRrNHbJ.png,2
../data/processed\rock\processed_nmxmRD1050oGpGEa.png,0
../data/processed\scissors\processed_VSitIYv6wmfRhoKj.png,2
../data/processed\rock\processed_F9aco7lZecystG3Z.png,0
../data/processed\scissors\processed_SMQFKEq55U7752xf.png,2
../data/processed\rock\processed_Xt7qc6XbbZ4OcpW6.png,0
../data/processed\rock\processed_N3Qml9f8reG31r5b.png,0
../data/processed\paper\processed_sZyZICXHv0ArIZFw.png,1
../data/processed\rock\processed_5EEdNZWT8M9PThPB.png,0
../data/processed\rock\processed_6TEsyzE1MEK6Xg31.png,0
../data/processed\rock\processed_VnSCn5IIg7m8d9Os.png,0
../data/processed\rock\processed_rBGSBjzYhvdPSDV0.png,0
../data/processed\rock\processed_fnIIkyRgH6znwmNp.png,0
../data/processed\rock\processed_bC8Fki1Na2rRSlBG.png,0
../data/processed\paper\processed_BH9zAUdmmjlfXwtS.png,1
../data/processed\paper\processed_5jcXrtjEVtQwI0Wa.png,1
../data/processed\paper\processed_4ZoU4nouZzb9G2MI.png,1
../data/processed\paper\processed_oqJ2wJHOLMGGxdjF.png,1
../data/processed\paper\processed_1Dfw5FRlS4h60JPX.png,1
../data/processed\rock\processed_OQpJdqlKKADyIvtb.png,0
../data/processed\rock\processed_YllhyQANozETi3MM.png,0
../data/processed\scissors\processed_nHMXDFvdVQ8Vb0F7.png,2
../data/processed\paper\processed_yM5JZ5J4uLeYIGOO.png,1
../data/processed\paper\processed_nPEUpKKphLYH3Bjy.png,1
../data/processed\paper\processed_s4dtRIGK3emNyjrO.png,1
../data/processed\paper\processed_NS5CJKNsJa9jr5j4.png,1
../data/processed\rock\processed_O0YV4V0z2pe4kxwx.png,0
../data/processed\scissors\processed_w58UIOAxkjM2L3AO.png,2
../data/processed\paper\processed_oWI7JL85eXDhRFcV.png,1
../data/processed\scissors\processed_bAQiTy59XVNlKqc4.png,2
../data/processed\rock\processed_8xToYACSoKU0swum.png,0
../data/processed\rock\processed_1wk2Hl1Ih9guOwx6.png,0
../data/processed\paper\processed_nb6CUTNhXBAmjFp9.png,1
../data/processed\scissors\processed_Eodp43S6sgfxeCST.png,2
../data/processed\scissors\processed_e5dFezMV6TxIvNXA.png,2
../data/processed\paper\processed_CpDMCILKUN2AUA1A.png,1
../data/processed\paper\processed_vvM7nA8hZJD5b9CL.png,1
../data/processed\rock\processed_QkABhOUYBbDXL7VF.png,0
../data/processed\paper\processed_CHf3O6SDtuPbbD0s.png,1
../data/processed\paper\processed_5Iz9WPYz1C3PKWxj.png,1
../data/processed\rock\processed_QdUOXLvrrFZbV5G6.png,0
../data/processed\scissors\processed_UPH9bl4Vrq4Gwp3K.png,2
../data/processed\rock\processed_HWvrWXLQywNe1aCF.png,0
../data/processed\scissors\processed_s3L79HfHyX9tyTS0.png,2
../data/processed\scissors\processed_fRMSey1LBvG1TRWj.png,2
../data/processed\scissors\processed_lSAWzGgHunaNt7jj.png,2
../data/processed\paper\processed_ngFDxBhhLQzs7JAH.png,1
../data/processed\scissors\processed_Z1leFM4TO5u2eSaI.png,2
../data/processed\scissors\processed_5inLBb6qZY0gpX3b.png,2
../data/processed\rock\processed_pmukoZQITHhWvDDb.png,0
../data/processed\scissors\processed_RPQtLp789cqfKEQE.png,2
../data/processed\scissors\processed_Ckqc5ia9xteRont9.png,2
../data/processed\scissors\processed_vMAludIRGF14FuGn.png,2
../data/processed\scissors\processed_xgFgqnPJIU3u1ZqY.png,2
../data/processed\rock\processed_zrrYLvM2uywyFwRy.png,0
../data/processed\paper\processed_coKLsdqkvkYUv247.png,1
../data/processed\scissors\processed_oxU5O3n839QvrOGu.png,2
../data/processed\scissors\processed_XyUSCoWQqR72pGt8.png,2
../data/processed\paper\processed_2UKnsncgPodQLOFR.png,1
../data/processed\paper\processed_JsryGUQahbbNkrlP.png,1
../data/processed\rock\processed_5uXiqEc4q2Vi0NCX.png,0
../data/processed\rock\processed_D7Ykcj1tYAannu8h.png,0
../data/processed\paper\processed_eW9ezZkV7Jxu1BEk.png,1
../data/processed\paper\processed_14K62H4KG1hg5qiJ.png,1
../data/processed\rock\processed_94oKRQFyit6SANlq.png,0
../data/processed\scissors\processed_RydyYWgvhLQPwEaw.png,2
../data/processed\rock\processed_SlAF95clUBus3B4a.png,0
../data/processed\paper\processed_SoqluLecSTBcuyoS.png,1
../data/processed\rock\processed_i1GxDtZ5awTW7Rsf.png,0
../data/processed\paper\processed_yaRRMcZS7JJ3xLK1.png,1
../data/processed\scissors\processed_TxkHaqZ5Mg3Jfs80.png,2
../data/processed\paper\processed_n8IzyztMwnfa5rjf.png,1
../data/processed\paper\processed_U5WsclDnMxnOTgGT.png,1
../data/processed\paper\processed_BI9YnLkJ5wFZe6w8.png,1
../data/processed\paper\processed_eaOtD5yLQHTuFTz3.png,1
../data/processed\scissors\processed_QbAO4VZw7Jlcenou.png,2
../data/processed\scissors\processed_b6laDVaqf5K3aQvH.png,2
../data/processed\rock\processed_F9QovHPXetKcOokD.png,0
../data/processed\paper\processed_37PRV3B9HxuUPkQr.png,1
../data/processed\paper\processed_H8cGdqeAOdIyIMO5.png,1
../data/processed\paper\processed_UJdZdj6nyFRHVFEg.png,1
../data/processed\rock\processed_fQPCA8oYZ8ywDgyv.png,0
../data/processed\paper\processed_HTETrKtTEB31pvsK.png,1
../data/processed\rock\processed_qiysAN26ClLYOZfG.png,0
../data/processed\scissors\processed_mBHQsHWDcRvtLIKC.png,2
../data/processed\rock\processed_Aa9hY8wo2ixaUNKH.png,0
../data/processed\rock\processed_HLf2liRRQ2FM3PWB.png,0
../data/processed\rock\processed_QF1S0sqb6YGe4GNP.png,0
../data/processed\scissors\processed_PcrxANaDvhRnDlxq.png,2
../data/processed\rock\processed_XdWXMPZZwwXhwYGI.png,0
../data/processed\scissors\processed_AqQ5Xll9nVqJODji.png,2
../data/processed\rock\processed_RJSM8dpspJB6ckmX.png,0
../data/processed\scissors\processed_Dl9fg6ttVQY9U28G.png,2
../data/processed\paper\processed_mkUctpckc3vjOwKa.png,1
../data/processed\paper\processed_0a3UtNzl5Ll3sq8K.png,1
../data/processed\scissors\processed_mIFCv2K3nBdTMjku.png,2
../data/processed\scissors\processed_0CSaM2vL2cWX6Cay.png,2
../data/processed\rock\processed_vL6UMd1OOIGuEdFu.png,0
../data/processed\rock\processed_cY3jY96VetFq6Ayp.png,0
../data/processed\rock\processed_3aRXheNUQ6cxechp.png,0
../data/processed\rock\processed_32PDtFdAkUiAJbmP.png,0
../data/processed\paper\processed_yPnREvUeAGYRKi7V.png,1
../data/processed\paper\processed_68QZtdP6UaIcIE55.png,1
../data/processed\rock\processed_evxvBwQgL8Kvv67C.png,0
../data/processed\rock\processed_Q7EjH9y5ipAktIG6.png,0
../data/processed\scissors\processed_fYsFOMTEQ0VIy1Ma.png,2
../data/processed\scissors\processed_hzvSpM4olIqXfeVt.png,2
../data/processed\rock\processed_5SeLlZliRJtZAnIZ.png,0
../data/processed\rock\processed_qYTvWILCYIauIMkW.png,0
../data/processed\rock\processed_PxixapAFqLmRaP6k.png,0
../data/processed\scissors\processed_95NcnE0omOzXLqs3.png,2
../data/processed\scissors\processed_T8GWcDJlUuzt12VL.png,2
../data/processed\paper\processed_QWT9FOhLABPyKIUA.png,1
../data/processed\paper\processed_1yeoLbmp4alVOtFv.png,1
../data/processed\rock\processed_UEdiy4khJQHK0ofn.png,0
../data/processed\paper\processed_Ht08RX3DQCSdl9Sy.png,1
../data/processed\paper\processed_BTG0fjXM09DyD4sh.png,1
../data/processed\rock\processed_JslFc8olsoXrWyG0.png,0
../data/processed\scissors\processed_9wjorYJt2c8t6y5Q.png,2
../data/processed\rock\processed_6ZWuYAkiYnDTDa2N.png,0
../data/processed\rock\processed_B4x3aTJOO6e3BIIX.png,0
../data/processed\rock\processed_xy6EzMBW1U0aWDhr.png,0
../data/processed\rock\processed_T0Ac7jx8YlCdhjXB.png,0
../data/processed\scissors\processed_HqB3HFyK3VvZha0Y.png,2
../data/processed\scissors\processed_Tghe750qrbh7MMpP.png,2
../data/processed\scissors\processed_UTc5RnTVPMdKnVPL.png,2
../data/processed\paper\processed_COmibsBioPBur0V9.png,1
../data/processed\scissors\processed_JtDq2l0qrhsysghx.png,2
../data/processed\scissors\processed_TYXCfgUSBF8L7HZK.png,2
../data/processed\scissors\processed_Vn28McGu6NtjoMsb.png,2
../data/processed\rock\processed_51TTZXCnAuk3Ck6s.png,0
../data/processed\scissors\processed_jVsCBh8HQczKdHci.png,2
../data/processed\paper\processed_VstDOeRm7czrAOO9.png,1
../data/processed\rock\processed_lpmH56YGWEHsmhBi.png,0
../data/processed\scissors\processed_8Q1PAZsxpLf5FAo6.png,2
../data/processed\scissors\processed_jy6fSFQ1ynecl3P7.png,2
../data/processed\paper\processed_C9tAvywdtjDTnllg.png,1
../data/processed\scissors\processed_6TMYdUMhaEWHQOcc.png,2
../data/processed\scissors\processed_GfBCXN6UyOkkwshw.png,2
../data/processed\paper\processed_Lui3J5YhKgMvk673.png,1
../data/processed\scissors\processed_OvlZhZPWYPjouJIM.png,2
../data/processed\rock\processed_iCLIvwweBESAwx4z.png,0
../data/processed\rock\processed_fK7m8vZQS1RUHcMr.png,0
../data/processed\rock\processed_84UHPxArtBOr8GF2.png,0
../data/processed\rock\processed_4vXhIZv7KkPhyfX9.png,0
../data/processed\scissors\processed_TTISkHEEyMVpUk5B.png,2
../data/processed\scissors\processed_ro7qIekrW8rAUNH1.png,2
../data/processed\scissors\processed_9VLUR3WfMvIdEMrO.png,2
../data/processed\paper\processed_URj0hmH1Y9lNObL9.png,1
../data/processed\scissors\processed_JjS0KakWxwXmg5Wi.png,2
../data/processed\rock\processed_EcChvTuoNsCzjFUQ.png,0
../data/processed\rock\processed_mN2Tm82UB8XH1eNs.png,0
../data/processed\scissors\processed_o1cPo5Z2YLfTz2vJ.png,2
../data/processed\scissors\processed_fNhHWQTLa9YBoIo2.png,2
../data/processed\rock\processed_7cNxwgrraQGeA1LA.png,0
../data/processed\paper\processed_qtYZl1WPMxaH5KQV.png,1
../data/processed\scissors\processed_oYB271o4Oo5uFHpW.png,2
../data/processed\paper\processed_Ih5Z5Z3xFZ17IcZS.png,1
../data/processed\rock\processed_ktvHAgLHY7YAY1Af.png,0
../data/processed\paper\processed_H8n0niVYdIGNGE0d.png,1
../data/processed\paper\processed_27XFtQjjXQ8AP8Tl.png,1
../data/processed\rock\processed_7xID6kq32pdkEBIe.png,0
../data/processed\rock\processed_rGh56uZVxk2MZLWF.png,0
../data/processed\paper\processed_p81Lb4bD6fEvkSQ0.png,1
../data/processed\rock\processed_CKLOvn69epi2Qcxg.png,0
../data/processed\paper\processed_XNUalPNmCkHhYk1i.png,1
../data/processed\rock\processed_wI8gSJIe2tzwPSub.png,0
../data/processed\rock\processed_2uVMdMj10yjpR6Py.png,0
../data/processed\scissors\processed_fu07mFhmsJAtiPwr.png,2
../data/processed\paper\processed_4fCqIVTEuFLsQMaZ.png,1
../data/processed\scissors\processed_DcbHRGWKeOdFBzEs.png,2
../data/processed\rock\processed_Gr80cGhz5I8abSjg.png,0
../data/processed\scissors\processed_PV4JNT7EUevp0FDj.png,2
../data/processed\rock\processed_JOaPrPIINVvoI9l4.png,0
../data/processed\scissors\processed_VrHis8ru9xXA5Lqh.png,2
../data/processed\paper\processed_hUDN2qXDxjoGBWqu.png,1
../data/processed\rock\processed_5nKDkVzIMQWmtReM.png,0
../data/processed\paper\processed_d5FmD95HmhodiITj.png,1
../data/processed\paper\processed_wytuIz48uLeDoGqz.png,1
../data/processed\scissors\processed_sem0kkR24VbSRmAc.png,2
../data/processed\rock\processed_Q7dUVly6sK3jyeMM.png,0
../data/processed\rock\processed_7wFK6yhjKaNkhwZs.png,0
../data/processed\rock\processed_V3wtZLDoj8UyjEh4.png,0
../data/processed\rock\processed_G1MuiTHGqQ6CN122.png,0
../data/processed\paper\processed_Om6b4BvZS49QNNFV.png,1
../data/processed\paper\processed_SrSUeH255dybz2zi.png,1
../data/processed\paper\processed_UE6Ao0ZqJbQ1R1R5.png,1
../data/processed\rock\processed_UDjD30Rke7seRcaD.png,0
../data/processed\paper\processed_MKnNPdRtHfgr6ZbI.png,1
../data/processed\rock\processed_R5nXVOQnotizkrJB.png,0
../data/processed\scissors\processed_RbjC5b9sd5JtTlOf.png,2
../data/processed\paper\processed_dftjUImANb0Q9pMA.png,1
../data/processed\paper\processed_xR8mRBEdYAbokAEk.png,1
../data/processed\rock\processed_6HFAfRozG6L6n9fl.png,0
../data/processed\rock\processed_FqRqtazi3LD2vwsr.png,0
../data/processed\rock\processed_tgpoZwVYq6VIfho8.png,0
../data/processed\paper\processed_jl6AlteXSalbS3rG.png,1
../data/processed\rock\processed_dwcRLIlsRlaRevNn.png,0
../data/processed\rock\processed_96Sw16ZnG0zF8Qo0.png,0
../data/processed\scissors\processed_WGm4eYxzwqkTKaQs.png,2
../data/processed\scissors\processed_2gd0aqAxW55bHZP9.png,2
../data/processed\rock\processed_DHqDt7x3dw4jZmp9.png,0
../data/processed\rock\processed_dZ6rscIYTbmlwVZE.png,0
../data/processed\scissors\processed_HGhHQ3uNh7XFl2ar.png,2
../data/processed\rock\processed_yJeAgusgncrC0SBZ.png,0
../data/processed\scissors\processed_xfdYfkrgEZ2fuuck.png,2
../data/processed\paper\processed_rSRKkten7Ffx6bEj.png,1
../data/processed\scissors\processed_JWz75J1U5sGr1FH2.png,2
../data/processed\rock\processed_QSa6ILjZeRdKM5Fz.png,0
../data/processed\rock\processed_wcL0C9QgqDYxaj3W.png,0
../data/processed\rock\processed_1COBZEE1ALiJIivQ.png,0
../data/processed\rock\processed_hOgtdOKps4GHrC05.png,0
../data/processed\scissors\processed_1WX9KKoq0nkWiTxI.png,2
../data/processed\scissors\processed_1lEpWTJDphkm3HdC.png,2
../data/processed\scissors\processed_xOdLJOH2sxWkgRTS.png,2
../data/processed\scissors\processed_46fOqpoVsNjc9m9m.png,2
../data/processed\rock\processed_lXb5SpRU737FgSN8.png,0
../data/processed\paper\processed_eBjRjXUIy7fpUaRy.png,1
../data/processed\scissors\processed_Eolm0Lo5dzVwDYqB.png,2
../data/processed\scissors\processed_5QHP8zydBsbWyt4T.png,2
../data/processed\scissors\processed_CiZDoU3BINzzruL8.png,2
../data/processed\paper\processed_a9SyLOjQZE4llCvX.png,1
../data/processed\paper\processed_A0Dgq561RAiluT9p.png,1
../data/processed\scissors\processed_evBSpeXRlbUu82CV.png,2
../data/processed\rock\processed_mJ0RjteYaLfYLE9P.png,0
../data/processed\paper\processed_Httje79JB2p6ePf0.png,1
../data/processed\scissors\processed_lhD4U5er2UL6nfAH.png,2
../data/processed\scissors\processed_m7ELYBy0O4wx0YqJ.png,2
../data/processed\paper\processed_m4BUXxtLrhnsSUJ2.png,1
../data/processed\paper\processed_zru6yFR3dqc3SymW.png,1
../data/processed\scissors\processed_2C9FEbBklwcVhF3W.png,2
../data/processed\paper\processed_xha8stYdUnt02zKI.png,1
../data/processed\scissors\processed_hzfrafUqDDoL0esu.png,2
../data/processed\rock\processed_Lz2cVZ7LSaoXHcgr.png,0
../data/processed\paper\processed_tHitLUmmXOyChXOH.png,1
../data/processed\rock\processed_fMQzh7RRM5fbtBiC.png,0
../data/processed\paper\processed_f1aYiLdB5VC3L8Kk.png,1
../data/processed\rock\processed_FF2mNwRujDxzozUQ.png,0
../data/processed\scissors\processed_Nbdg8g0X7rioOzQT.png,2
../data/processed\paper\processed_9giVcOVtFf85mQZd.png,1
../data/processed\scissors\processed_ZcGYyQZWKP4EcVEz.png,2
../data/processed\paper\processed_4484TuJc6AH7pDOG.png,1
../data/processed\paper\processed_aeVtGl2LQBr831P5.png,1
../data/processed\rock\processed_3XqpRCrIK65ostOr.png,0
../data/processed\rock\processed_1BqjHe5igJAgUjiN.png,0
../data/processed\scissors\processed_YaAtOlkyK9hnzZ11.png,2
../data/processed\scissors\processed_KP9dgcRNzQE9tV0Z.png,2
../data/processed\paper\processed_yYiQN5jZvkGqr6C5.png,1
../data/processed\paper\processed_WUJ02oAbtzoPF4oo.png,1
../data/processed\scissors\processed_3kVoftgTNdDcvPPY.png,2
../data/processed\rock\processed_OTf1IyhsDRDSoYTw.png,0
../data/processed\paper\processed_kz9TBAHLFXGnHCiF.png,1
../data/processed\paper\processed_Y8kfG3f6KJa1YJPA.png,1
../data/processed\scissors\processed_BwX4LCp8V8FlquK1.png,2
../data/processed\paper\processed_8qhPJIViAhfZTJkA.png,1
../data/processed\paper\processed_N5JmBjeptZ3hK3EK.png,1
../data/processed\paper\processed_oLcpS2BYyqZLBj9P.png,1
../data/processed\rock\processed_uCt8rigwmrP07ZVr.png,0
../data/processed\scissors\processed_ePMywMOdTHYyxe1o.png,2
../data/processed\paper\processed_tW1oIjn0hlGLToAY.png,1
../data/processed\paper\processed_av2NxK494nd72Q13.png,1
../data/processed\rock\processed_6sInddznuGf5KuRo.png,0
../data/processed\scissors\processed_wvySukQJa9DYOX8v.png,2
../data/processed\paper\processed_AMewmfMVCnLfbuNr.png,1
../data/processed\rock\processed_5Zca8AdXnpDvoz18.png,0
../data/processed\paper\processed_svY0FVnjij1nSJDK.png,1
../data/processed\paper\processed_mugG8B1m5Ra2aRgZ.png,1
../data/processed\rock\processed_nY37eRslka1ss2bZ.png,0
../data/processed\rock\processed_LSpFmcm9V8jmdhR3.png,0
../data/processed\paper\processed_YEGCpdShhdOdneq4.png,1
../data/processed\rock\processed_DXlFk9LGWpbBewq2.png,0
../data/processed\paper\processed_ObnNNP8S6dH3IxIS.png,1
../data/processed\scissors\processed_CTbANISUvZMD2T4L.png,2
../data/processed\scissors\processed_YaRYYDirKENPeJcS.png,2
../data/processed\rock\processed_NlFsco3hpee3X0wS.png,0
../data/processed\scissors\processed_TqrIZuWA1XJR0MEK.png,2
../data/processed\rock\processed_1mnAKQCHEDbtjPX2.png,0
../data/processed\scissors\processed_HYMbsGR9sq7jfwQp.png,2
../data/processed\scissors\processed_m5ykDPqbTkPOEgWW.png,2
../data/processed\paper\processed_XnvU9UjrhVwfnSgj.png,1
../data/processed\paper\processed_LYirpnRmbCGN6T7O.png,1
../data/processed\rock\processed_pBRSGgUENwGb83VQ.png,0
../data/processed\rock\processed_IY007WkIgMgYMJRj.png,0
../data/processed\rock\processed_9buKAwFejr8MhkAF.png,0
../data/processed\scissors\processed_SsNjRQhLfqyGZtkG.png,2
../data/processed\paper\processed_zrZmvRbPtB57a4Vr.png,1
../data/processed\scissors\processed_ak3LcYS6c0jfzncs.png,2
../data/processed\scissors\processed_3dI7E5pwR07mvKvF.png,2
../data/processed\scissors\processed_wuoizA09gXbcCZ5a.png,2
../data/processed\rock\processed_MgF3uIzpCPWudb3N.png,0
../data/processed\rock\processed_oIoIl8ZLod1q9i1s.png,0
../data/processed\scissors\processed_NInKk7uh3vNRuwCm.png,2
../data/processed\scissors\processed_dowAehk6HVomDGpw.png,2
../data/processed\rock\processed_wweMJiVO1CgNIGHW.png,0
../data/processed\rock\processed_wzcE5Sx0VwqjWQhs.png,0
../data/processed\scissors\processed_mmLhBFvXWgD957XY.png,2
../data/processed\scissors\processed_rg2UeHqmCL67Pl4o.png,2
../data/processed\scissors\processed_mRlkMzgNq3PxHHe4.png,2
../data/processed\rock\processed_bsj2s38rcZvedHSI.png,0
../data/processed\rock\processed_3Umm2S8TUyEpkbCY.png,0
../data/processed\rock\processed_smfqjL7LuLnrPqo1.png,0
../data/processed\scissors\processed_yAEtN7WUvS5S1Cmy.png,2
../data/processed\paper\processed_fSWSXO9fumLluiAF.png,1
../data/processed\scissors\processed_Ep0yJCcioRpgZquy.png,2
../data/processed\scissors\processed_ZzIlyDP6opy9ifkB.png,2
../data/processed\scissors\processed_dpBDoATNj0ZtqSz3.png,2
../data/processed\scissors\processed_2DEYFsJ27UgVqv3W.png,2
../data/processed\scissors\processed_zyml8p6mHzWWJTyw.png,2
../data/processed\paper\processed_ntumvg6vWpT6qIal.png,1
../data/processed\rock\processed_oky5NsS9ymRXKVf8.png,0
../data/processed\paper\processed_P0BIztnCzZ3StLD1.png,1
../data/processed\paper\processed_CbiqUiChqkXHb8jk.png,1
../data/processed\scissors\processed_cbGRRpm8EE2K6pDH.png,2
../data/processed\paper\processed_em91htnBohvtnG2e.png,1
../data/processed\scissors\processed_R9xpzPuawT5aH69c.png,2
../data/processed\rock\processed_kdSoBBdU2T0eoWR2.png,0
../data/processed\scissors\processed_NSv28DjjZXJ8mvhi.png,2
../data/processed\scissors\processed_Nu7zmg5BP4aU3e3Y.png,2
../data/processed\scissors\processed_GPY2PK0wpb7ZoSVS.png,2
../data/processed\paper\processed_VFOCgVBUlL5Gp4Hh.png,1
../data/processed\scissors\processed_dOgYDnySFw6fj21T.png,2
../data/processed\scissors\processed_RCThbCZDuS9DMCY7.png,2
../data/processed\scissors\processed_3n4i3lKB3nZOpDVv.png,2
../data/processed\scissors\processed_JSDICtLrQIEXhPy5.png,2
../data/processed\scissors\processed_jwdItCvoNRkssn6D.png,2
../data/processed\rock\processed_yF6HU2xSYYVTtH91.png,0
../data/processed\rock\processed_zkNTynOVx99Kr46m.png,0
../data/processed\rock\processed_H2lQHx5y3oy8mLSL.png,0
../data/processed\rock\processed_rrf0pB5CgUgAmucg.png,0
../data/processed\scissors\processed_ismjaxPJzOizyqOx.png,2
../data/processed\scissors\processed_7dBQ0fOpCs03OmnR.png,2
../data/processed\scissors\processed_uM6obPsz0ALWxBjQ.png,2
../data/processed\rock\processed_Mfz7ZRZdZeRxFYAf.png,0
../data/processed\rock\processed_EvmNpXcSU8y41PXX.png,0
../data/processed\paper\processed_sisDkUJdIN7AkgTV.png,1
../data/processed\rock\processed_gRiBjZUJv5LqQXYZ.png,0
../data/processed\rock\processed_lb0hZJ95AjtXzoHf.png,0
../data/processed\rock\processed_vXU1VEpTIJDKa6kg.png,0
../data/processed\rock\processed_e6cXS0w2KOKKEYZU.png,0
../data/processed\paper\processed_JDZ86cNk15r0NTi6.png,1
../data/processed\rock\processed_0P6uxM8Vr1DwySHe.png,0
../data/processed\paper\processed_Y0XtXW0pn979O6KK.png,1
../data/processed\scissors\processed_PnuPFf14FGLB9AKu.png,2
../data/processed\rock\processed_aM5kGWsMPDGNdc3J.png,0
../data/processed\rock\processed_s3NrOMdLJLZbpSdU.png,0
../data/processed\scissors\processed_7M6QmAbgSaXFX9ES.png,2
../data/processed\scissors\processed_XSI0ZmaJN2CfPs3B.png,2
../data/processed\paper\processed_pt2EHjG6vxV6Hjmf.png,1
../data/processed\paper\processed_VrhvQlf5Yz5mAt7Y.png,1
../data/processed\scissors\processed_eJ9GdFE4kzE0t5zh.png,2
../data/processed\paper\processed_Gc4hUsoFAQBdulGg.png,1
../data/processed\rock\processed_bdO9pxWWsTRxmT2z.png,0
../data/processed\rock\processed_CkjdMgxvvA6Ll8Ca.png,0
../data/processed\scissors\processed_pJix3Ef2BAOt7yAz.png,2
../data/processed\paper\processed_WVfwcOw6nXcg4xER.png,1
../data/processed\scissors\processed_qoU2kq8bmOjMY5e0.png,2
../data/processed\rock\processed_nkwwKfU69znG7Bi3.png,0
../data/processed\rock\processed_m0xWKKlJMcCcQagG.png,0
../data/processed\scissors\processed_U6bMgGB3gf9rMBvE.png,2
../data/processed\paper\processed_tlZ31lJJt1OhSr0a.png,1
../data/processed\paper\processed_dIg7Ds4xEzk0pyWZ.png,1
../data/processed\rock\processed_lJTADoCRRndhoR4k.png,0
../data/processed\paper\processed_Z5ioSnqxnoCUixRW.png,1
../data/processed\rock\processed_n61z73RnZB19Bpq8.png,0
../data/processed\scissors\processed_hyQDSSjNFHX7Wirc.png,2
../data/processed\scissors\processed_nPGqkGXIocWAZgzO.png,2
../data/processed\rock\processed_AzWs0iUTTu8bLtsw.png,0
